店铺ID,店铺名称,2024年1月,2024年2月,2024年3月,2024年4月,2024年5月,2024年6月,2024年7月,2024年8月,2024年9月,2024年10月,2024年11月,2024年12月,2025年1月,2025年2月,2025年3月,2025年4月,2025年5月,2025年6月,2025年7月,2025年8月,2025年9月,2025年10月,2025年11月,2025年12月,2026年1月,2026年2月,2026年3月,2026年4月,2026年5月,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511770,保定益岸图书销售有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.2,43.89,8.4,98.49,241.29,43.26,10.5,0,16.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511592,武汉市启越教育咨询有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511593,天津东岛传媒科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,1469.37,953.68,570.92,641.48,735.98,412.44,438.2,286.1,293.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511776,驭书斋（天津）文化传播有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.36,171.64,405.58,815.15,1079.26,618.94,882,1047.76,2529.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511434,山东瓜二文化传媒有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.24,7,9.8,79.8,8.68,105.98,0,2.8,0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510374,河北行知文化传媒有限责任公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,13.44,174.44,573.93,404.88,391.86,143.5,47.6,172.2,118.02,80.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507430,广州习阅文化传媒有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.9,74.34,437.99,307.86,449.26,1151.99,2048,1331.26,1112.02,1324.63,4606.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507429,惠来县薪火科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506294,慧课教育科技（广东）有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,387.52,483.63,157.36,148.54,136.97,597.66,932.82,807.38,718.95,244.72,177.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905437,梁山高智传媒科技中心（个体工商户）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1806.9,3720.42,5144.58,6558.95,8829.67,7112.15,16802.81,21496.67,17302.75,15277.64,16421.1,10913.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
