店铺ID,店铺名称,2024年1月,2024年2月,2024年3月,2024年4月,2024年5月,2024年6月,2024年7月,2024年8月,2024年9月,2024年10月,2024年11月,2024年12月,2025年1月,2025年2月,2025年3月,2025年4月,2025年5月,2025年6月,2025年7月,2025年8月,2025年9月,2025年10月,2025年11月,2025年12月,2026年1月,2026年2月,2026年3月,2026年4月,2026年5月,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511592,武汉市启越教育咨询有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511593,天津东岛传媒科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,2126.2,1398.4,837.6,940.4,1051.4,589.2,626,408.72,419.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511776,驭书斋（天津）文化传播有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.8,249.2,591.4,1176.5,1541.8,884.2,1260,1496.8,3613.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511434,山东瓜二文化传媒有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.2,10,14,114,12.4,151.4,0,4,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510374,河北行知文化传媒有限责任公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19.2,249.2,834.9,578.4,571.8,205,68,246,168.6,114.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507430,广州习阅文化传媒有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,112.2,625.7,441.8,652.8,1670.7,2925.72,1901.8,1588.6,1892.34,6580.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507429,惠来县薪火科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506294,慧课教育科技（广东）有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,557.6,690.9,224.8,214.2,196.68,857.8,1332.6,1153.4,1027.08,349.6,254.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905437,梁山高智传媒科技中心（个体工商户）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2632.3,5510,7490.4,9580.79,12956.9,10438.32,24173.4,29257.2,24718.52,21825.2,23403.6,15590.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505620,湖南书虫教育科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3462.82,8004.2,3915.9,2437.4,1478.58,2040,2212.2,1576.2,1333.6,784.5,854.5,766.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505618,盛世华阅文化传媒（北京）有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.2,1287,846.6,2510.7,2213.1,1741.8,6756.4,14656.38,2296.69,3132.71,1821.69,792.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505017,河南写意年华教育科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.6,64,702.4,330.2,542.2,368.4,364.3,542.6,284.8,155.8,100.46,58,82.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505619,上海云珏文化传播有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503992,济宁长歌文化传媒有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13098.8,50147.16,27554.97,22714.8,14541.58,17392.2,17188.87,17835.4,20030.76,23092.4,17997.88,37512.6,31327.26,37344.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503080,福建人民出版社有限责任公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,989.4,1283.75,957.2,220.8,366.6,1714.98,1143.9,849.2,1284.4,715.6,615.7,1961.2,1450.4,860.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504617,合肥三新教育科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321.5,1609.5,337.5,213,95,153,40,71,38,1210.6,751,920.2,604.6,563,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504622,江苏有为咨询有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,0,0,5,16,19.8,0,38.8,0,0,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
