店铺ID,店铺名称,销售,收入,创建,发布
523621,江苏春雨教育集团有限公司,0,0,0,0
524121,郑州焕璟文化传媒有限公司,0,0,0,0
518382,东北书局,1941,1358.7,0,49
518381,河源市祝君好教育科技有限公司,6,4.2,0,0
168968,海浪书生,22.8,13.68,0,0
518061,梁山金大文化传媒有限公司,11090.54,7762.89,13,816
516850,阳光同学文化股份有限公司,0,0,0,0
516849,湖北省智慧源文化发展有限公司,210,160.66,0,19
516315,安徽庐阳书社图书有限公司,143,100.1,0,0
515889,黑龙江省知行书刊经销有限公司,60,42,0,0
516314,潍坊新奇点教育科技有限公司,0,0,0,0
514867,拾光树文化,9873.22,6936.36,9,905
514602,武汉思颖琪文化传播有限公司,541.2,501.52,2,22
514604,广西接班人教育科技有限公司,0,0,0,0
514605,合肥优视教育科技有限公司,136.8,111.69,0,0
514603,陕西明天教育科技发展有限公司,953.7,729.19,0,0
514606,河南理想图书发行有限公司,57.2,40.04,0,0
513170,阜阳市三味书屋教育科技有限公司,0,0,0,0
513172,沈阳刷考点教辅图书有限公司,1846.7,1292.69,0,2
512829,长沙学有成教育科技有限公司,0,0,0,0
513171,安徽迈进文化传播有限公司,196.4,137.48,0,0
512822,秒懂国际图书（北京）有限公司,0,0,0,0
512825,湖南华文出版传媒有限公司,138,96.6,0,0
511590,衡水天枢教育发展有限公司,3046.4,2179.73,0,0
511775,陕西文韬文化传媒有限公司,3552.8,2530.36,0,0
511294,河南晨轩文化科技有限公司,794,555.8,0,0
511284,长春玖典文化传媒有限公司,0,0,0,0
511770,保定益岸图书销售有限公司,9,6.3,0,0
511592,武汉市启越教育咨询有限公司,0,0,0,0
511593,天津东岛传媒科技有限公司,265.7,185.99,0,0
511776,驭书斋（天津）文化传播有限公司,379.6,265.72,0,0
511434,山东瓜二文化传媒有限公司,22,15.4,0,0
510374,河北行知文化传媒有限责任公司,40.8,28.56,0,0
507430,广州习阅文化传媒有限公司,1622.48,1135.73,0,0
507429,惠来县薪火科技有限公司,0,0,0,0
506294,慧课教育科技（广东）有限公司,54.8,38.36,0,0
905437,梁山高智传媒科技中心（个体工商户）,14793.38,10372.34,4,305
505620,湖南书虫教育科技有限公司,1836.06,1285.2,17,246
505618,盛世华阅文化传媒（北京）有限公司,1049.89,734.86,0,0
505017,河南写意年华教育科技有限公司,832.44,582.69,0,0
505619,上海云珏文化传播有限公司,0,0,0,0
503992,济宁长歌文化传媒有限公司,11619.53,8311.6,37,730
503080,福建人民出版社有限责任公司,263.6,184.52,0,0
504617,合肥三新教育科技有限公司,151.8,106.26,0,0
504622,江苏有为咨询有限公司,12,8.4,0,0
504623,山东开心图书有限公司,893.2,644.14,4,5
503076,聊城市开发区题酷网络科技服务中心,0,0,0,0
503079,郑州启明星书业有限公司,510.6,357.42,1,25
503077,河北兴园书刊有限公司,0,0,0,0
503078,武汉市好学途文化传媒有限公司,32.9,23.03,1,60
502866,四川云思路图书销售有限公司,0,0,0,0
502056,潍坊振发文化发展有限公司,2475.47,1757.33,17,115
501922,杭州盛世久顺文化发展有限公司,763.6,534.52,0,1
501752,安徽育甲优创教育科技有限公司,57,28.5,0,0
501417,西安尚墨文化传播有限公司,13.8,9.66,0,0
501751,昆明初莫文化传播有限公司,0,0,0,0
501571,河北鸿硕教育科技有有限公司,223.6,156.52,21,233
501237,兰州书志文化传播有限公司,69.6,48.72,0,0
501416,河南超图教育科技有限公司,0,0,0,0
501415,中数数字科技（山东）有限公司,118.8,59.4,0,0
501236,宁波涌济文化发展有限公司,2016.46,1422.67,0,0
501085,广东宾博文化传播有限公司,2,1.4,0,0
501234,安徽振乾文化传媒有限公司,41,38.85,0,0
500775,杭州润游图书有限公司,10,7,0,0
501086,四川省教育电子音像出版社有限公司,4,2.8,0,0
500774,上海汇熙文化传播有限公司,19,13.3,0,0
500779,河南王瑞教育科技有限公司,38.64,27.04,0,85
500772,重庆大学电子音像出版社有限公司,10.4,5.2,0,0
500769,山东状元桥文化传播有限公司,2,1.4,0,0
500768,北京一本通文化传媒有限公司,0,0,0,0
500746,北京清北华杰文化科技有限公司,0,0,0,0
500770,石家庄朗诚文化传媒有限公司,0,0,0,0
500745,深圳天骄文化传播有限公司,6444.28,4527.4,0,0
500744,唐山泓延文化传媒有限公司,4,2.8,0,0
